symbol,ts,status,equity,pos_qty,fills,m_reason,enter_long,m_trend_ok,m_breakout,m_vol_ok,m_pullback,m_rsi,m_atr,m_ema_fast,m_ema_slow
ETH/USD,2026-03-02T14:18:02.270945+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271088+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271180+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271259+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271339+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271413+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271485+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271560+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271628+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271695+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271763+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271830+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271896+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.271965+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272033+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272094+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272159+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272222+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272283+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272346+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272411+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272474+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272537+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272600+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272662+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272727+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272792+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272855+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272919+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.272980+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273042+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273103+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273167+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273227+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273287+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273347+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273406+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
ETH/USD,2026-03-02T14:18:02.273468+00:00,insufficient_data,10000.0,0.0,0,,,,,,,,,,
